sentiment,message,label_vishal,label_viv,label_avery,manual_avg,tweet_id,BERT_numeric,BERT_label
1,"@WhiteHouse Even though climate change forces us to abandon fossils, the new energy regime will be cheaper and even cheaper. Forward!",0.6,0.7,0.8,0.7,8.35156E+17,-0.316229939,Negative
0,@realDonaldTrump listen to only about 100 scientists about global climate change,0.1,-0.1,0.7,0.233333333,8.12796E+17,-0.262472153,Negative
0,"End global warming: break sandwiches apart and eat components separately.

#majorityofdelisagree https://t.co/9LiYdBsIpo",0.1,0,0,0.033333333,9.55655E+17,-0.280466914,Negative
-1,literally so tired of the posts in my feed that's saying all these hurricanes 'proves' climate change is happening &gt;.&lt;,-0.15,-0.2,-0.5,-0.283333333,9.06114E+17,0.383491874,Positive
1,@exxonmobil how about climate change study suppressions / misinformation what about that?,0.1,-0.3,-0.3,-0.166666667,8.11375E+17,0.089576364,Neutral
-1,"@Eugene_V_Tooms @RexTilllerson Global cooling, global warming, climate change. W/e you want snowflake.",-0.2,-0.2,-0.2,-0.2,8.54028E+17,-0.139977753,Neutral
-1,RT @USFreedomArmy: Nothing worse than climate change now is there. Enlist with us &amp; read the truth at https://t.co/oSPeY3QMpH. Act!! https:…,-0.8,-0.1,0.3,-0.2,7.95024E+17,-0.150487006,Neutral
1,"NZ must prepare for climate change impacts, says PM https://t.co/JGd3VJCkDH - a very welcome acknowledgement",0.7,0.2,0.6,0.5,9.58775E+17,0.050959349,Neutral
2,Pakistan committed to tackling issue of climate change: PM - PM Abbasi addresses conference on climate change in Isâ€¦ https://t.co/UXfaW7zb3g,0.2,0,0.4,0.2,9.4267E+17,-0.426591396,Negative
-1,RT @Thomas1774Paine: How bout you refund the billions you've stolen in federal grants to fund your portfolio. Real climate change: To yo…,-0.6,-0.7,-0.5,-0.6,8.705E+17,0.002936482,Neutral
1,RT @Greenpeace: Climate change drives forest loss. Forest loss drives climate change  https://t.co/qTqHJJ5wvL #deforestation #COP21 https:/…,-0.2,-0.3,-0.1,-0.2,6.77809E+17,-0.52366221,Negative
2,RT @DavidPapp: [TECHCRUNCH] The official White House website has dropped any mention of climate change https://t.co/2qzfTnFDh8,-0.1,0,-0.2,-0.1,8.22538E+17,0.291918159,Positive
-1,RT @hrkbenowen: Bill Nye whines at CNN for having actual SCIENTIST on who doesn’t support climate change doctrine https://t.co/T18ye2dxfg,-0.6,-0.35,-0.5,-0.483333333,8.5618E+17,-0.044555366,Neutral
0,"RT @swimsure: No Plan:
Irish government confirms its own climate change policy failure. As @AnTaisce has been showing for years. 
https://tâ€¦",-0.45,0,-0.2,-0.216666667,9.53496E+17,-0.009685934,Neutral
1,There are some people who claim $q$climate change$q$ is a $q$religious issue$q$. One variant goes like this: $q$Only God... https://t.co/dhG8Y1SigM,0.1,0,0.1,0.066666667,6.65115E+17,-0.08951056,Neutral
1,‘Science Before Supper’ Talk to focus on Climate Change https://t.co/OoQ5DR0ADw https://t.co/NXEtQ4GY22,0.1,0.3,0,0.133333333,6.94078E+17,-0.333956301,Negative
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,-0.2,-0.3,-0.3,-0.266666667,7.97873E+17,0.167400599,Neutral
1,RT @JuddLegum: 1. How long do we have to pretend the Stephens' incorrect FACTS on climate change are an opinion?…,-0.35,-0.4,-0.2,-0.316666667,8.58787E+17,-0.373214066,Negative
-1,"According to your god al gore NY was supposed to be under water in 2012,and if it isn't global warming but climate… https://t.co/QrdVCuwpr9",-0.45,0.3,-0.2,-0.116666667,8.70961E+17,-0.513294876,Negative
1,@HuffingtonPost Denying drug use exists among welfare recipients is as crazy as a republican denying climate change.,-0.8,-0.5,-0.7,-0.666666667,8.05436E+17,0.277526379,Positive
2,RT @MSMWatchdog2013: The real Tony Abbott emerges in incendiary climate change speech https://t.co/xPViFn7GsJ via @ABCNews,-0.3,-0.1,-0.1,-0.166666667,9.17649E+17,-0.466231585,Negative
1,"RT @TeaPainUSA: Once you get around the air, the water and the food we eat, climate change is really no big deal. 

https://t.co/5oX03urupx",0.6,-0.1,0.6,0.366666667,8.71069E+17,-0.288092554,Negative
0,RT @LEF_CS: @TheCountess___ until global warming forced him into the city,-0.35,0,0.2,-0.05,8.41038E+17,-0.391227901,Negative
-1,RT @TheLibRepublic: Meteorologists Dismantle Bill Nye’s Alarmist Hype Of Global Warming http://t.co/XWAxecsTrf,0.4,0.5,-0.4,0.166666667,6.10943E+17,-0.011970222,Neutral
2,PM.Modi: Prime Minister narendramodi calls for mitigating climate change at the wef in Davos.â€¦ https://t.co/j5cGLZVCpr,0.3,0,0,0.1,9.5422E+17,-0.394928634,Negative
0,"RT @Justin_Ling: The thing we designed to save us from climate change got messed up by climate change so I guess that's it, then. https://t…",-0.2,-0.25,-0.3,-0.25,8.65777E+17,-0.470196128,Negative
2,RT @theecoheroes: Trump's climate change agenda 'immensely depressing' #environment #climatechange https://t.co/0VzTZDdpdx thanks @AndyS_Re…,-0.8,-0.55,-0.4,-0.583333333,8.48786E+17,0.128379226,Neutral
0,https://t.co/jwJR7sQXyz Radical women and climate change: what to expect from the US #art world in 2018: A look aheâ€¦ https://t.co/7f6ctHXcVy,0.2,-0.15,0.4,0.15,9.48538E+17,-0.497981548,Negative
-1,"INCONVENIENT DATA?  Whistle blower says NOAA scientist cooked climate change books, if you know what i mean",-0.46,-0.25,-0.1,-0.27,8.29139E+17,-0.036983252,Neutral
0,"@Climatologist49 @shawnmilrad Using whatever period works to prove my cold, like one of the â€œglobal warming realistâ€¦ https://t.co/hr8vCD3kAE",-0.6,0,0.4,-0.066666667,9.51281E+17,-0.104807019,Neutral
0,RT @Becca_Wireman: I love this weather but like global warming,0.55,0.6,0.6,0.583333333,8.22964E+17,-0.312283814,Negative
-1,"@DrMartyFox pull out we don't need a bastard child of climate change, first time I would approve of an abortion. Ab… https://t.co/TprYFB7jkT",0.45,0,0.3,0.25,8.5539E+17,0.086442113,Neutral
0,"$q$I think people are rather bored with the idea of climate change and, when we do get a lovely day, let$q$s just enjoy it, not get guilty.$q$",0.35,1,0.6,0.65,6.809E+17,-0.193543911,Neutral
0,@AlanAshton10 @BjornLomborg @ClimateRealists I've nailed down the root cause of man-made global warming. It's calleâ€¦ https://t.co/1WrWSjmhnC,-0.1,0,0.8,0.233333333,9.61749E+17,-0.261483371,Negative
2,Climate change is a major global challenge: PM Narendra Modi at inauguration of India Pavilion... https://t.co/dlfHGBVWLn,-0.1,0,0.3,0.066666667,6.7137E+17,-0.331629455,Negative
2,RT @ClimateNexus: Octopus in the parking garage is climate changeÃ¢â‚¬â„¢s canary in the coal mine https://t.co/KanMC92G2k via @MiamiHerald https:Ã¢â‚¬Â¦,0.1,0,0.1,0.066666667,7.99905E+17,-0.097073913,Neutral
-1,"RT @RawhideClover: There is not enough data to prove global warming. The earth has cycles, they have been messing with the atmosphere… ",-0.2,0,0.3,0.033333333,8.23503E+17,-0.38791728,Negative
0,$q$Science to Policy Summit: Climate Change$q$ https://t.co/k6HYxnZQob @Eventbrite,0,0,0,0,7.32606E+17,-0.503407598,Negative
-1,RT @tan123: 'just some points to bring in to question the militant orthodoxy of the current climate change universe' https://t.co/7EHFteZgrK,-0.2,-0.4,-0.2,-0.266666667,8.4609E+17,-0.409479022,Negative
2,RT @CNNPolitics: Neil deGrasse Tyson says it might be 'too late' to recover from climate change https://t.co/jEeSHWFjdg https://t.co/dYCyBt…,-0.45,-0.7,-0.5,-0.55,9.10098E+17,-0.426223695,Negative
0,@BadAstronomer @Syfy How about we study global warming on some hypothetical expoplanet. Those Earth studies are just to provide a baseline.,0.1,0.3,0.1,0.166666667,8.43889E+17,-0.491997719,Negative
2,Jill Stein: Al Gore needs to 'step up' in climate change fight https://t.co/IkLELrjq9Q,0.1,-0.1,0.2,0.066666667,8.05963E+17,-0.549844146,Negative
-1,"RT @TheFoundingSon: NOAA scientists manipulated temperature data to make global warming seem worse

Who's surprised? Not me
https://t.co/Rj…",-0.35,-0.25,-0.4,-0.333333333,8.28629E+17,-0.132948518,Neutral
2,"RT @China__Newz: US National Defense Strategy recognises #China, Russia as 'growing threats'; makes no mention of climate change - Firstposâ€¦",-0.1,-0.4,0,-0.166666667,9.53408E+17,-0.130701423,Neutral
0,@FoxNews @realDonaldTrump Not to depress anyone but according to @CNN We're all gonna die from global warming tomoâ€¦ https://t.co/v1iVAizO4K,-0.5,0.2,-0.8,-0.366666667,9.54916E+17,0.098412991,Neutral
0,global warming toys for teens https://t.co/ODdU3PQfFo,0,-0.2,0,-0.066666667,8.48485E+17,-0.044424117,Neutral
2,"RT @RonThornton: Al Gore would have lost global warming bet, academic says via the @FoxNews App #AlGore #climatechange https://t.co/KEImdnâ€¦",-0.1,0,0.2,0.033333333,9.55903E+17,-0.256844759,Negative
-1,@ABC Ya but all the experts say it's not climate change ass hat fake news it's a natural occurrence for thousands o… https://t.co/kvDP3USb8m,-0.3,-0.1,-0.6,-0.333333333,8.86143E+17,-0.122180879,Neutral
-1,RT @Rockprincess818: celebrities who couldn't drag Hillary's bloated body over the finish line are lecturing us on climate change. No one l…,-0.8,-0.8,-0.9,-0.833333333,8.71392E+17,-0.520310581,Negative
1,RT @BernieSanders: 'The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiÃ¢â‚¬Â¦,0.4,-0.65,-0.3,-0.183333333,7.9574E+17,-0.178466558,Neutral
0,New e-book released: IRINâ€™s reporting on climate change and food security: https://t.co/nzzksKDCDl (@irinnews),0.14,0,0,0.046666667,9.61674E+17,-0.273905635,Negative
1,"People really are stupid when it comes to global warming. Even if itâ€™s not real and we do something about it, we still win",-0.6,-0.1,0.7,0,9.55066E+17,0.063270807,Neutral
1,"RT @ESAL_us: 'While politicians at the national level may argue about the global causes of climate change, local officials are...engaging wâ€¦",0.3,0,-0.2,0.033333333,9.55415E+17,-0.291270792,Negative
1,RT @MJVentrice: Climate Change is something that is realized in the troposphere. I'm not aware of research regarding climate change's impac…,0.1,0,0.1,0.066666667,8.26829E+17,-0.516209126,Negative
2,"RT @CNN: Time-lapse, bird's-eye video shows thousands of protesters marching toward White House during climate change march…",-0.1,0,0,-0.033333333,8.584E+17,-0.297279894,Negative
2,"RT @WorldfNature: Polar vortex shifting due to climate change, extending winter, study finds - Washington Post https://t.co/gB6dBddyEG",-0.1,-0.1,0,-0.066666667,7.93546E+17,-0.480837107,Negative
0,Comparing what the manifestos say on energy and climate change https://t.co/lPhcgYCuqo Thanks @CarbonBrief #energy #climatechange #GE2017,0.2,-0.35,0.2,0.016666667,8.70227E+17,-0.233342886,Negative
2,RT @scifeeds: Researchers help rural women in India improve health and slow global warming through clean cookstoveÃ‚ use https://t.co/Fo5KNFsÃ¢â‚¬Â¦,0.25,0.7,1,0.65,7.94522E+17,-0.408893526,Negative
2,RT @IrishTimesWorld: South African drought gives a glimpse of what future climate change may bring https://t.co/i2OM2iezLe https://t.co/Pi0…,-0.3,-0.3,0.2,-0.133333333,6.69406E+17,-0.493458807,Negative
1,@MarkyDeSuede @cathmckenna Reducing atmospheric CO2 levels will affect climate change. If fossil fuels are kept atâ€¦ https://t.co/aP0qIlTo5k,-0.1,0.25,0.6,0.25,9.58763E+17,-0.486005723,Negative
0,"Researcher my next video and found this by some twitter asshat. 
So presidential.

#ICYMI winter ≠ global warming:… https://t.co/9cBrFTaPkn",-0.7,-0.3,-0.1,-0.366666667,8.1754E+17,-0.507220089,Negative
0,RT @indihj: Someone mapped the Twitter Climate Change convo. Legit amazing. Fave Aus tweeters feature. https://t.co/ekf47r5vBs https://t.co…,0.8,0.9,0.9,0.866666667,7.24916E+17,-0.244912684,Negative
1,RT @og_mr_d: Before the Flood wasn't perfect documentary but it got the message right: America isn't doing enough to fight climate change #Ã¢â‚¬Â¦,0.45,0.25,1,0.566666667,7.9323E+17,-0.413399041,Negative
2,WWF: World$q$s richest reef system could soon succumb to climate change - The Guardian http://t.co/JHMhiMYpqv,-0.1,-0.1,0,-0.066666667,6.47424E+17,0.056881905,Neutral
0,"RT @MaddowBlog: He$q$s not kidding about the Trump thing: https://t.co/APsIRL1Iwp
#DemDebate https://t.co/xWD2sEJWOW",0.2,0,-0.3,-0.033333333,6.8893E+17,-0.018920898,Neutral
